Date,Dungeon,Result,Clear time,Mana,Crystal,Energy,Drop,Rune Grade,Sell value,Rune Set,Max Efficiency,Slot,Rune Rarity,Main stat,Prefix stat,Secondary stat 1,"Secondary stat 2,",Secondary stat 3,Secondary stat 4
2016-05-08 18:17,Dragon's Lair B10,Win,3:28,3940,0,0,Rainbowmon 2*,,,,,,,,,,,,
﻿2016-05-08 18:21,Dragon's Lair B10,Win,2:48,4611,0,1,Rune,4*,6615,Violent,62.54%,5,Rare,HP +160,CRI Dmg 2%,DEF 4%,HP 5%,,
﻿2016-05-08 18:24,Dragon's Lair B10,Win,2:47,4481,0,2,Rune,5*,19380,Violent,76.54%,1,Legendary,ATK +15,CRI Rate 4%,HP +115,SPD +3,Accuracy 7%,ATK 4%
﻿2016-05-08 18:27,Dragon's Lair B10,Win,3:01,4125,0,0,Rune,5*,13005,Violent,72.32%,6,Rare,HP 8%,ATK +14,SPD +5,HP +261,,
﻿2016-05-08 18:30,Dragon's Lair B10,Win,3:04,4297,0,1,Rune,5*,8075,Focus,68.43%,1,Hero,ATK +15,,ATK 6%,Resistance 3%,CRI Dmg 4%,
﻿2016-05-08 18:33,Dragon's Lair B10,Win,2:41,3963,0,0,Unknown Scroll x4,,,,,,,,,,,,
﻿2016-05-08 18:37,Dragon's Lair B10,Win,2:51,4089,0,0,Rune,5*,11305,Shield,65.00%,1,Rare,ATK +15,,SPD +3,ATK 6%,,
﻿2016-05-08 18:40,Dragon's Lair B10,Win,2:51,4143,0,0,Rune,5*,8925,Endure,74.20%,3,Legendary,DEF +15,,CRI Dmg 5%,DEF 4%,Resistance 7%,HP +196
﻿2016-05-08 18:43,Dragon's Lair B10,Win,3:00,4897,0,2,Rune,5*,12240,Shield,70.70%,5,Hero,HP +270,HP 4%,DEF +9,CRI Dmg 5%,Accuracy 3%,
﻿2016-05-08 18:46,Dragon's Lair B10,Win,2:56,4598,0,0,Rune,6*,21080,Shield,73.90%,1,Rare,ATK +22,,HP 6%,CRI Dmg 6%,,
﻿2016-05-08 18:50,Dragon's Lair B10,Win,3:01,4515,0,1,Rune,5*,13600,Revenge,69.26%,2,Rare,DEF 8%,CRI Dmg 3%,Resistance 3%,ATK 5%,,
﻿2016-05-08 18:54,Dragon's Lair B10,Win,3:12,4895,0,1,Rune,4*,6247,Violent,60.62%,6,Rare,ATK 5%,,SPD +3,DEF +9,,
﻿2016-05-08 18:57,Dragon's Lair B10,Win,3:15,4439,0,1,Rune,4*,7350,Shield,64.24%,2,Hero,DEF +10,,Accuracy 3%,HP 6%,Resistance 3%,
﻿2016-05-08 19:07,Dragon's Lair B10,Win,3:06,4040,0,1,Rune,5*,6800,Focus,68.64%,5,Rare,HP +270,Resistance 6%,DEF +9,CRI Dmg 4%,,
﻿2016-05-08 19:11,Dragon's Lair B10,Win,3:36,3968,0,1,Unknown Scroll x5,,,,,,,,,,,,
﻿2016-05-08 19:19,Dragon's Lair B10,Win,3:00,4415,2,1,Rune,6*,25677,Violent,85.10%,4,Rare,ATK +22,ATK 7%,CRI Rate 4%,CRI Dmg 7%,,
﻿2016-05-08 19:23,Dragon's Lair B10,Win,2:48,4887,0,2,Rune,5*,15300,Violent,73.27%,2,Rare,ATK +15,Accuracy 7%,CRI Dmg 5%,ATK 4%,,
﻿2016-05-08 19:26,Dragon's Lair B10,Win,3:24,4115,0,0,Rune,5*,15300,Violent,71.97%,2,Rare,ATK 8%,SPD +3,Resistance 7%,CRI Rate 3%,,
﻿2016-05-08 19:30,Dragon's Lair B10,Win,2:53,4436,0,0,Rune,4*,4823,Revenge,59.38%,3,Rare,DEF +10,,Accuracy 3%,HP 5%,,
﻿2016-05-08 19:33,Dragon's Lair B10,Win,2:45,4842,0,2,Rune,5*,5440,Focus,67.61%,5,Rare,HP +270,,ATK 7%,CRI Dmg 5%,,
﻿2016-05-08 19:36,Dragon's Lair B10,Win,2:55,4382,0,0,Rune,4*,3904,Guard,61.54%,6,Rare,DEF +10,DEF 5%,ATK +4,Accuracy 2%,,
﻿2016-05-08 19:41,Dragon's Lair B10,Win,3:36,4797,0,1,Rune,6*,25360,Revenge,84.38%,2,Hero,HP 11%,,ATK 7%,CRI Dmg 5%,SPD +5,
﻿2016-05-08 19:44,Dragon's Lair B10,Win,2:34,4416,0,0,Rune,5*,10200,Endure,78.28%,2,Hero,DEF 8%,ATK 5%,HP 5%,SPD +5,CRI Rate 5%,
﻿2016-05-08 19:47,Dragon's Lair B10,Win,3:00,4344,0,0,Rune,4*,4593,Guard,66.30%,2,Rare,DEF 5%,ATK 6%,CRI Dmg 5%,Resistance 3%,,
﻿2016-05-08 19:51,Dragon's Lair B10,Win,3:17,4619,0,2,Rune,5*,12920,Revenge,68.85%,1,Rare,ATK +15,Accuracy 3%,ATK 4%,HP 7%,,
﻿2016-05-08 20:01,Dragon's Lair B10,Win,3:30,4270,0,1,Unknown Scroll x4,,,,,,,,,,,,
﻿2016-05-08 20:04,Dragon's Lair B10,Win,2:49,4112,0,1,Rainbowmon 2*,,,,,,,,,,,,
﻿2016-05-08 20:07,Dragon's Lair B10,Win,3:01,4249,0,1,Rune,5*,6460,Endure,65.32%,1,Rare,ATK +15,,CRI Rate 4%,ATK 5%,,
﻿2016-05-08 20:11,Dragon's Lair B10,Win,3:05,3849,0,0,Rune,4*,3307,Focus,61.65%,4,Rare,DEF 5%,,SPD +3,CRI Dmg 4%,,
﻿2016-05-08 20:15,Dragon's Lair B10,Win,2:59,4151,0,1,Rune,4*,3307,Endure,59.81%,4,Rare,DEF 5%,,Accuracy 4%,ATK +6,,
﻿2016-05-08 20:18,Dragon's Lair B10,Win,2:55,4229,0,0,Rune,5*,8500,Endure,75.25%,2,Rare,ATK 8%,HP 7%,CRI Rate 4%,Resistance 7%,,
﻿2016-05-08 20:22,Dragon's Lair B10,Win,3:14,4331,0,1,Rune,4*,4364,Endure,66.02%,1,Rare,ATK +10,CRI Dmg 4%,ATK 5%,CRI Rate 4%,,
﻿2016-05-08 20:25,Dragon's Lair B10,Win,3:21,4244,0,2,Rune,6*,11887,Focus,78.43%,3,Rare,DEF +22,CRI Rate 6%,HP 5%,CRI Dmg 4%,,
﻿2016-05-08 20:29,Dragon's Lair B10,Win,2:59,4157,0,1,Rune,5*,11305,Revenge,62.72%,1,Rare,ATK +15,,HP +132,CRI Dmg 5%,,
﻿2016-05-08 20:32,Dragon's Lair B10,Win,3:24,4517,0,2,Rune,5*,11560,Shield,72.73%,6,Rare,Resistance 9%,CRI Rate 3%,ATK 7%,HP 5%,,
﻿2016-05-08 21:09,Giant's Keep B10,Win,2:18,3949,0,1,Summoning Stones x3,,,,,,,,,,,,
﻿2016-05-08 21:12,Giant's Keep B10,Win,2:31,3734,0,1,Rune,5*,6885,Fatal,68.51%,4,Rare,HP +270,HP 4%,CRI Dmg 3%,Accuracy 3%,,
﻿2016-05-08 21:15,Giant's Keep B10,Win,2:22,4119,0,4,Unknown Scroll x4,,,,,,,,,,,,
﻿2016-05-08 21:18,Giant's Keep B10,Win,2:19,3851,0,3,Rune,5*,8160,Energy,73.04%,5,Legendary,HP +270,,DEF +15,SPD +3,HP 4%,Resistance 5%
﻿2016-05-08 21:21,Giant's Keep B10,Win,2:28,4395,0,3,Rune,5*,13600,Despair,68.94%,2,Rare,DEF 8%,,HP 5%,Accuracy 6%,,
﻿2016-05-08 21:24,Giant's Keep B10,Win,2:25,3813,0,1,Rune,5*,7225,Swift,73.81%,6,Rare,DEF 8%,ATK 7%,CRI Dmg 3%,HP 7%,,
﻿2016-05-08 21:27,Giant's Keep B10,Win,2:50,3622,0,2,Rune,6*,8083,Energy,79.11%,6,Rare,DEF 11%,,ATK 6%,ATK +18,,
﻿2016-05-08 21:30,Giant's Keep B10,Win,2:17,3837,0,1,Rune,5*,4462,Fatal,64.41%,3,Rare,DEF +15,,DEF 7%,HP +164,,
﻿2016-05-09 00:36,Giant's Keep B10,Win,2:44,4016,0,3,Rune,5*,4845,Energy,62.12%,1,Rare,ATK +15,,ATK 4%,Resistance 3%,,
﻿2016-05-09 00:39,Giant's Keep B10,Win,2:58,4308,0,1,Rune,5*,6120,Blade,68.78%,5,Rare,HP +270,DEF 6%,CRI Rate 3%,ATK +11,,
﻿2016-05-09 00:42,Giant's Keep B10,Win,2:30,4166,0,3,Rainbowmon 2*,,,,,,,,,,,,
﻿2016-05-09 00:45,Giant's Keep B10,Win,2:23,3963,0,1,Rune,5*,12240,Despair,69.26%,5,Hero,HP +270,,CRI Dmg 3%,Resistance 4%,ATK 7%,
﻿2016-05-09 00:48,Giant's Keep B10,Win,2:24,4326,0,1,Rune,5*,12920,Despair,66.92%,1,Rare,ATK +15,,HP 7%,ATK 5%,,
﻿2016-05-09 00:50,Giant's Keep B10,Win,2:14,3882,0,1,Rainbowmon 2*,,,,,,,,,,,,
﻿2016-05-09 00:53,Giant's Keep B10,Win,2:24,3929,0,3,Rune,4*,2411,Fatal,59.38%,3,Rare,DEF +10,,Accuracy 3%,Resistance 5%,,
﻿2016-05-09 00:56,Giant's Keep B10,Win,2:31,4199,0,1,Unknown Scroll x4,,,,,,,,,,,,
﻿2016-05-09 00:59,Giant's Keep B10,Win,2:39,3680,0,0,Rune,5*,7267,Blade,69.81%,1,Rare,ATK +15,ATK 5%,SPD +3,HP 6%,,
﻿2016-05-09 01:03,Giant's Keep B10,Win,2:23,3679,0,2,Rune,4*,4134,Swift,64.78%,4,Hero,ATK +10,,CRI Dmg 5%,Resistance 5%,Accuracy 2%,
﻿2016-05-09 01:05,Giant's Keep B10,Win,2:19,3690,0,1,Rune,6*,8876,Blade,74.54%,5,Rare,HP +360,,CRI Dmg 6%,SPD +5,,
﻿2016-05-09 01:08,Giant's Keep B10,Win,2:13,4290,0,2,Rune,5*,13005,Despair,67.75%,6,Rare,Accuracy 9%,Resistance 3%,DEF 4%,HP +167,,
﻿2016-05-09 01:10,Giant's Keep B10,Win,2:16,3815,0,0,Rune,4*,2733,Fatal,63.48%,6,Rare,Accuracy 6%,,ATK 6%,HP 5%,,
﻿2016-05-09 01:13,Giant's Keep B10,Win,2:19,4166,0,1,Rainbowmon 2*,,,,,,,,,,,,
﻿2016-05-09 01:15,Giant's Keep B10,Win,2:04,3459,0,0,Rune,4*,7855,Despair,62.35%,1,Hero,ATK +10,,HP +212,CRI Rate 3%,Resistance 4%,
﻿2016-05-09 01:18,Giant's Keep B10,Win,2:23,4029,0,3,Rune,4*,4042,Fatal,63.83%,5,Hero,HP +160,CRI Rate 2%,CRI Dmg 2%,SPD +2,Accuracy 5%,
﻿2016-05-09 01:21,Giant's Keep B10,Win,2:19,4062,0,0,Rune,4*,7028,Despair,63.17%,6,Rare,HP 5%,HP +140,ATK +9,SPD +4,,
﻿2016-05-09 01:24,Giant's Keep B10,Win,2:31,3709,0,2,Rune,4*,4134,Swift,64.24%,4,Rare,DEF 5%,HP 5%,SPD +3,ATK 3%,,
﻿2016-05-09 01:26,Giant's Keep B10,Win,2:07,3937,0,0,Rune,5*,5737,Fatal,71.41%,3,Rare,DEF +15,Resistance 5%,DEF 5%,SPD +5,,
﻿2016-05-09 01:32,Giant's Keep B10,Win,3:02,3923,1,0,Rune,5*,6885,Fatal,71.97%,4,Rare,ATK +15,HP 4%,ATK 7%,SPD +3,,
﻿2016-05-09 01:35,Giant's Keep B10,Win,2:15,3572,0,1,Rune,5*,8160,Energy,77.84%,5,Legendary,HP +270,,SPD +5,DEF 6%,CRI Rate 4%,DEF +15
﻿2016-05-09 01:38,Giant's Keep B10,Win,2:21,3654,0,4,Rune,6*,11412,Swift,76.14%,4,Rare,ATK 11%,,HP +310,Resistance 4%,,
﻿2016-05-09 01:41,Giant's Keep B10,Win,2:16,3989,0,2,Rune,5*,8500,Swift,69.14%,2,Rare,DEF 8%,HP +172,CRI Rate 4%,CRI Dmg 3%,,
﻿2016-05-09 01:58,Giant's Keep B10,Win,2:18,4025,0,2,Rune,5*,6460,Energy,72.92%,1,Hero,ATK +15,,ATK 7%,SPD +5,CRI Dmg 4%,
﻿2016-05-09 02:01,Giant's Keep B10,Win,2:19,3960,0,2,Rune,4*,4134,Fatal,61.54%,2,Rare,SPD +4,CRI Rate 3%,ATK +6,CRI Dmg 2%,,
﻿2016-05-09 02:03,Giant's Keep B10,Win,2:08,3434,0,2,Rune,5*,7225,Swift,71.21%,6,Rare,DEF +15,DEF 5%,HP 5%,Accuracy 4%,,
﻿2016-05-09 02:06,Giant's Keep B10,Win,2:20,3830,0,0,Unknown Scroll x4,,,,,,,,,,,,
﻿2016-05-09 02:08,Giant's Keep B10,Win,1:58,3936,0,1,Rune,6*,14265,Energy,82.69%,3,Legendary,DEF +22,,CRI Rate 5%,CRI Dmg 4%,DEF 8%,HP +190
﻿2016-05-09 02:11,Giant's Keep B10,Win,2:21,3726,0,3,Unknown Scroll x5,,,,,,,,,,,,
﻿2016-05-09 02:13,Giant's Keep B10,Win,2:05,3748,0,3,Rune,5*,7650,Fatal,70.73%,2,Hero,HP +270,,Accuracy 3%,ATK +15,Resistance 5%,
﻿2016-05-09 02:16,Giant's Keep B10,Win,2:15,4063,0,1,Rune,5*,6120,Fatal,71.73%,5,Rare,HP +270,CRI Rate 3%,DEF 7%,Accuracy 6%,,
﻿2016-05-09 02:19,Giant's Keep B10,Win,2:08,3817,0,1,Unknown Scroll x4,,,,,,,,,,,,
